Layer,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,CellAVG,Obs
FSL-1,0,0.129,0,0.129,0,0,0.064,0.064,0.144,0.194,0.07240,40
FSL-2,0.376,0.144,0.329,0.193,0.204,0.129,0.129,0.258,0.182,0.266,0.22100,1
FSL-2,0,0.144,0.329,0.144,0.233,0.288,0.091,0.288,0.266,0,0.17830,2
FSL-2,0.204,0.129,0.233,0.392,0.064,0,0.129,0.064,0.322,0.129,0.16660,3
FSL-2,0.193,0.064,0.064,0.347,0.144,0.376,0,0.064,0.233,0.194,0.16790,4
FSL-2,0.182,0,0.182,0.204,0,0,0.144,0.258,0.144,0,0.11140,5
FSL-2,0.204,0.193,0.233,0.204,0.144,0.233,0,0,0.064,0,0.12750,6
FSL-2,0,0.204,0,0.258,0,0.064,0,0,0.204,0,0.07300,7
FSL-2,0.258,0.091,0.129,0.258,0.064,0,0,0.258,0.182,0.064,0.13040,8
FSL-2,0.064,0.129,0,0.233,0,0.129,0.064,0.129,0.064,0,0.08120,9
FSL-2,0.064,0.193,0.064,0.392,0,0,0,0.129,0.129,0.064,0.10350,10
FSL-2,0,0.064,0.091,0.288,0.129,0.064,0.182,0.064,0,0.392,0.12740,11
FSL-2,0.064,0.266,0.129,0.129,0.233,0,0.064,0.129,0,0,0.10140,12
FSL-2,0.064,0,0.064,0.392,0.064,0.129,0.064,0,0.064,0,0.08410,13
FSL-2,0,0.064,0.064,0.193,0.258,0.288,0.064,0.144,0.322,0,0.13970,14
FSL-2,0,0.204,0,0.204,0.129,0,0,0.064,0,0.129,0.07300,15
FSL-2,0.064,0.233,0.233,0.387,0.144,0.194,0,0.144,0,0.064,0.14630,16
FSL-2,0,0.144,0,0.091,0,0.129,0.258,0.064,0,0.129,0.08150,17
FSL-2,0.144,0.064,0.144,0.144,0.204,0,0,0.258,0.064,0.129,0.11510,18
FSL-2,0,0.129,0,0.233,0,0,0.064,0.329,0.064,0.064,0.08830,19
FSL-2,0.064,0.144,0.433,0.129,0,0.064,0.274,0.064,0.064,0.129,0.13650,20
FSL-2,0,0.064,0.204,0.288,0,0.064,0.322,0.064,0.064,0.194,0.12640,21
FSL-2,0.266,0.144,0.193,0.064,0,0.144,0.064,0.091,0.091,0,0.10570,22
FSL-2,0.129,0.129,0.129,0.182,0.322,0,0.194,0,0.144,0.376,0.16050,23
FSL-2,0,0.064,0,0.408,0.129,0.129,0,0.233,0.064,0,0.10270,24
FSL-2,0,0,0.129,0.144,0.129,0,0.064,0,0.064,0.144,0.06740,25
FSL-2,0,0.204,0,0.288,0,0.204,0.392,0.064,0.064,0.144,0.13600,26
FSL-2,0.064,0.266,0,0.322,0,0.129,0.47,0.129,0,0.266,0.16460,27
FSL-2,0,0.129,0.193,0.413,0.091,0,0,0.064,0.144,0,0.10340,28
FSL-2,0,0,0.329,0.144,0.064,0.194,0.194,0,0,0.194,0.11190,29
FSL-2,0,0.581,0.064,0.204,0.129,0.064,0.064,0,0.274,0.322,0.17020,30
FSL-2,0.376,0.322,0.266,0.144,0.274,0,0.144,0,0.322,0.266,0.21140,31
FSL-2,0.129,0.129,0.258,0.091,0.064,0.322,0.091,0.204,0,0.194,0.14820,32
FSL-2,0,0.193,0.258,0.233,0.091,0.129,0,0.129,0,0,0.10330,33
FSL-2,0.193,0.329,0.129,0.233,0.387,0.288,0,0.204,0.129,0,0.18920,34
FSL-2,0,0.144,0.347,0.258,0.194,0.129,0.144,0.204,0.091,0.064,0.15750,35
FSL-2,0.091,0.193,0.376,0.144,0,0.288,0,0.456,0.322,0.144,0.20140,36
FSL-2,0,0.288,0.144,0.204,0.064,0.064,0.064,0.064,0.129,0,0.10210,37
FSL-2,0.129,0,0.204,0.144,0.064,0.329,0,0.064,0.064,0.194,0.11920,38
FSL-2,0.204,0.233,0.193,0.193,0.194,0.266,0.064,0.144,0.233,0.091,0.18150,39
FSL-2,0,0.266,0.129,0.129,0.144,0.129,0.258,0,0,0.233,0.12880,40
RSL-1,0.144,0.233,0,0.721,0.182,0.266,0.504,0,0,0,0.20500,1
RSL-1,0.258,0,0.322,0.504,0.144,0,0.595,0.266,0.376,0,0.24650,2
RSL-1,0.465,0.193,0.266,0,0.204,0.193,0.376,0,0,0.129,0.18260,3
RSL-1,0.798,0,0.698,0.322,0,0,0.413,0.504,0.322,0.064,0.31210,4
RSL-1,0.923,0,0.735,0.47,0.129,0.129,0.648,0,0,0.376,0.34100,5
RSL-1,0.721,0,0.456,0.392,0,0,0.52,0.091,0.73,0.064,0.29740,6
RSL-1,0.896,0,0.504,0.52,0.329,0.091,0.258,0.204,0.288,0.608,0.36980,7
RSL-1,0,0,0.555,0.433,0.144,0,0.581,0.064,0.491,0.868,0.31360,8
RSL-1,0.612,0.144,0.465,0.721,0.204,0,0.376,0.091,0.465,0.064,0.31420,9
RSL-1,0.233,1.471,0.555,0.329,0,0.288,0.777,0.456,0.064,0.581,0.47540,10
RSL-1,0.52,0.347,0.456,0.064,0.193,0,0.193,0,0.204,0.064,0.20410,11
RSL-1,0.365,0.193,0.193,0.266,0,0.064,0,0,0.064,0.686,0.18310,12
RSL-1,0.504,0.491,1.05,0.329,0,1.064,0.204,0.129,0.091,0.274,0.41360,13
RSL-1,0.664,0.808,0.266,0.376,0.322,0.193,0.182,0,0.392,0.433,0.36360,14
RSL-1,0.144,0.144,0.465,0.658,0,0.091,0.329,0,0.52,0,0.23510,15
RSL-1,0,0.129,0.144,0.413,0.129,0.408,0.129,0.584,0.129,0.347,0.24120,16
RSL-1,0.233,0,0.532,0.816,0.233,0.735,0.064,0.258,0.064,0.347,0.32820,17
RSL-1,0.329,0.233,0.204,0.686,0.064,0.274,0,0,1.02,0.144,0.29540,18
RSL-1,0.129,0.233,0.686,0.322,0,0.581,0.329,0.204,0.064,0.064,0.26120,19
RSL-1,0.258,0.233,0.129,0.091,0.129,0.129,0.064,0.064,0.413,0.274,0.17840,20
RSL-1,0.387,1.168,0,0.413,0,0.274,0.392,0,0.698,0,0.33320,21
RSL-1,0,0.064,0.322,0.712,0.387,0.266,0.408,0,0.612,0.258,0.30290,22
RSL-1,0.129,0.064,0.52,0.976,0.091,0,0.376,0.064,0.064,0.129,0.24130,23
RSL-1,0.182,0.387,0.551,0.392,0.52,0.861,0.322,0.985,0.322,0.516,0.50380,24
RSL-1,0,0.064,0.532,0.912,0.266,1.371,0.347,0.288,0.322,0.129,0.42310,25
RSL-1,0.144,0.322,0.144,0.456,0.551,0.258,0.648,0.456,0.686,0.456,0.41210,26
RSL-1,0,0.387,0.322,1.618,0.064,0.839,0.064,0.465,0,0.129,0.38880,27
RSL-1,0,0.584,0.322,0.645,0.555,0.433,0.258,0.547,0.233,0.52,0.40970,28
RSL-1,0.266,0.129,0.595,1.356,1.328,0.288,0.612,0.365,0.233,0,0.51720,29
RSL-1,0.064,0.064,0.322,1.081,0.551,1.316,0,0.735,0.52,0,0.46530,30
RSL-1,0.376,0.322,0.064,0.735,0.347,0.721,0.777,1.522,0.413,0.347,0.56240,31
RSL-1,0.387,0.47,0.258,1.141,0.322,0.584,2.217,0.266,0.064,0,0.57090,32
RSL-1,0.204,0.129,0.903,1.389,0.808,1.141,1.126,0.808,0.433,0.47,0.74110,33
RSL-1,0.387,0.491,0.392,0.504,0.551,0.465,1.05,0.71,0.347,0,0.48970,34
RSL-1,0.091,0.144,0.204,0.433,0.608,1.442,0.71,0.779,0.233,0.376,0.50200,35
RSL-1,0.413,0.392,0.064,0.721,1.304,0.547,0.826,0.97,0.204,0,0.54410,36
RSL-1,0,0,0.322,0.47,1.355,0.144,0.288,0.877,0,0.408,0.38640,37
RSL-1,0.182,0.129,0.413,1.168,0.645,0.408,0.064,0.985,0.322,0.091,0.44070,38
RSL-1,0.064,0,0.322,0.865,0.581,0.413,0.698,0.451,0.091,0.347,0.38320,39
RSL-1,0,0.091,1.29,0.577,0.648,0,0.712,0.952,0,0.091,0.43610,40
RSL-2,0,0.233,0.204,0.129,0.144,0.288,0.144,0.182,0.064,0.064,0.14520,1
RSL-2,0.392,0,0.433,0,0,0.387,0,0.064,0,0,0.12760,2
RSL-2,0.091,0.129,0.52,0.258,0.182,0.193,0.129,0.193,0.896,0.664,0.32550,3
RSL-2,0.816,0.193,0.816,0.204,0.064,0.808,0.433,0.456,0.193,0.144,0.41270,4
RSL-2,0.064,0.204,0.47,0.091,0,0.52,0.376,0.392,0.664,0.532,0.33130,5
RSL-2,0.182,0.129,0.233,0.266,0,0.785,0,0.266,0.639,0.584,0.30840,6
RSL-2,0.266,0.376,0.233,0.064,0.064,0.233,0.144,0.322,0.47,0.322,0.24940,7
RSL-2,0.266,0.491,0.288,0,0,0.091,0.064,0.266,0.347,0.392,0.22050,8
RSL-2,0.686,0,0.064,0.064,0.129,0.204,0.144,0.584,0.52,0.71,0.31050,9
RSL-2,0.204,0.258,0.193,0.258,0,0.612,0.204,0.721,0.144,0.491,0.30850,10
RSL-2,0.322,0.144,0.71,0.392,0.091,0.274,1.784,0.581,0.504,1.034,0.58360,11
RSL-2,0.595,0.064,0,0.064,0.064,0.144,0.413,0.577,0.288,0.064,0.22730,12
RSL-2,0.129,0.266,0.288,0.233,0,0.144,0.233,0.645,0.551,0.712,0.32010,13
RSL-2,0.144,0.193,0.266,0.347,0.064,0.465,0.608,0.491,0,0.233,0.28110,14
RSL-2,0.266,0.144,0.266,0.064,0,0.456,0.584,1.163,0.204,1.267,0.44140,15
RSL-2,0.193,0,0.71,0.645,0,0.491,0.408,0.595,0.129,0.903,0.40740,16
RSL-2,0.387,0.233,0.064,0.376,0.129,0.52,0.516,0.779,0.064,1.154,0.42220,17
RSL-2,0.52,0.129,0.839,0.193,0,0.274,0.698,1.098,0.193,0.648,0.45920,18
RSL-2,0.288,0.204,0.064,0,0,0.595,0.266,0.329,0.064,0.193,0.20030,19
RSL-2,0.274,0.144,0.47,0.064,0.064,0.721,0.064,1.163,0.193,0.376,0.35330,20
RSL-2,0.52,0.233,0.266,0,0,0.233,0.612,0.645,0.392,0.584,0.34850,21
RSL-2,0.735,0.329,0.288,0.064,0,0.52,0.413,1.034,0.091,0.491,0.39650,22
RSL-2,0.387,0,0.258,0.182,0.322,1.008,0.387,1.143,0.204,0.808,0.46990,23
RSL-2,0.735,0.258,0.347,0.721,0.193,1.097,0.839,0.365,0.258,0.516,0.53290,24
RSL-2,0.322,0.064,0.258,0.329,0.182,0.712,0.347,1.51,0,0.129,0.38530,25
RSL-2,0.258,0.193,0.064,0.413,0.144,0.064,1.003,1.141,0,0.129,0.34090,26
RSL-2,0.288,0.258,0.491,0,0.645,0.129,0.595,1.368,0.581,0.144,0.44990,27
RSL-2,0.456,0.144,0.274,0.129,0.47,0.365,0.779,1.2,0.47,0.612,0.48990,28
RSL-2,0.266,0.413,0.204,0.322,0.091,0.504,0.555,1.612,0.595,0.258,0.48200,29
RSL-2,0.129,0.193,0.204,0.204,0.595,0.752,1.432,1.217,0.392,1.126,0.62440,30
RSL-2,0.673,0.193,0.329,0,0.091,0.584,0.595,1.068,0.456,0.865,0.48540,31
RSL-2,0.532,0.064,0.555,0.182,0.064,0.329,1.371,1.371,0.322,1.163,0.59530,32
RSL-2,0.952,0,0.144,0.204,0.47,0.595,0.532,1.189,0.129,0.322,0.45370,33
RSL-2,0.233,0.266,0.387,0,0.258,0.387,1.098,0.581,0.451,0.779,0.44400,34
RSL-2,0.504,0.204,0,0.204,0.376,0.896,1.285,1.356,0.976,0.516,0.63170,35
RSL-2,0.555,0.695,0.735,0.064,0.274,0.329,0.52,1.126,0.735,1.008,0.60410,36
RSL-2,0.516,0.288,0.451,0.329,0.204,0.376,1.11,1.104,0.839,0.785,0.60020,37
RSL-2,0.777,0.686,0.288,0.233,0,1.097,0.798,1.569,0.347,1.02,0.68150,38
RSL-2,0.664,0.288,0.182,0.465,0.193,1.296,1.189,0.193,0.752,0.516,0.57380,39
RSL-2,0.821,0.695,0.064,0.504,0.091,0.322,0.547,0.551,0.413,0.664,0.46720,40
PDL-1,0.144,0.322,0,0.465,0,0.064,0.456,0,0.129,0.193,0.17730,1
PDL-1,0.091,0,0,0.258,0,0,0.456,0.193,0.413,0.258,0.16690,2
PDL-1,0.288,0.064,0.233,0.376,0.064,0.182,0.266,0,0.648,0.064,0.21850,3
PDL-1,0,0.584,0,0.204,0,0.064,0,0.387,0.451,0,0.16900,4
PDL-1,0.144,0.258,0,0.387,0,0.144,0.376,0.064,0.779,0,0.21520,5
PDL-1,0.233,0,0.204,0.144,0.064,0.129,0.193,0,0,0.635,0.16020,6
PDL-1,0,0.193,0.144,0.329,0,0,0.456,0.365,0.903,0,0.23900,7
PDL-1,1.02,0.532,0.47,0.193,0,0.258,0.322,0.144,0.322,0.504,0.37650,8
PDL-1,0.376,0.839,0,0.785,0,0.258,0.413,0.064,0.577,0.387,0.36990,9
PDL-1,0.288,0.274,0.735,0.387,0,0.064,0.465,0,0.392,0.47,0.30750,10
PDL-1,0.129,0.322,1.098,0.465,0,0,0.144,0.144,0.516,0.821,0.36390,11
PDL-1,0.129,0.595,0.491,0.129,0,0.064,0.129,0.064,0.376,0.091,0.20680,12
PDL-1,0.387,0.721,0.923,0.532,0,0.064,0.129,0.064,1.081,0.532,0.44330,13
PDL-1,0,0.182,0.532,0.329,0,0.612,0.233,0.322,0.865,0.456,0.35310,14
PDL-1,0,0.193,0.456,1.425,0.233,0.144,0.182,0.193,1.189,0.182,0.41970,15
PDL-1,0.288,0.064,1.034,0.808,0.258,0.204,0.064,0.193,1.316,0.193,0.44220,16
PDL-1,0.064,0,0.923,0.658,0.392,0.532,0.274,0.091,0.347,1.736,0.50170,17
PDL-1,0.532,0.608,0.712,0.721,0.064,0.064,0.091,0.193,0.595,0.266,0.38460,18
PDL-1,0.266,1.081,0.516,0.896,0.433,0.698,0.433,0.52,1.29,1.252,0.73850,19
PDL-1,0.288,0.777,0.456,0.987,0.064,0.456,1.034,0.686,1.33,1.561,0.76390,20
PDL-1,0.959,0.408,0.322,0.952,0,0,0.322,0.868,2.253,1.189,0.72730,21
PDL-1,0.777,0.274,0.698,0.555,0.258,0,0.322,0.896,0.413,1.126,0.53190,22
PDL-1,0.673,0.129,0.898,0.465,0.129,0.091,0.584,0.808,0.274,1.008,0.50590,23
PDL-1,0.774,0,0.456,1.2,0.451,0.735,1.252,0.551,0.774,0.952,0.71450,24
PDL-1,0.555,0.365,1.034,0.982,0.288,0.967,0.987,0.673,0.658,1.217,0.77260,25
PDL-1,0.064,0.595,0.577,0.456,0.204,0.52,1.163,1.593,0.755,2.183,0.81100,26
PDL-1,0.456,0.274,0.982,0.93,0.347,0.584,1.612,0.777,1.001,1.806,0.87690,27
PDL-1,1.148,0.645,0.905,1.184,0.274,0.779,1.504,0.635,0.721,0.635,0.84300,28
PDL-1,0.721,0.595,0.712,1.298,0.392,1.068,0.923,0.896,1.042,0.712,0.83590,29
PDL-1,0.47,0.504,1.034,1.356,0.555,0.658,0.985,1.154,1.496,1.682,0.98940,30
PDL-1,0.645,0.516,1.113,1.073,0.698,0.595,0.721,1.217,0.896,1.771,0.92450,31
PDL-1,1.385,0.288,0.774,1.569,0.182,1.02,0.322,1.11,2.05,1.675,1.03750,32
PDL-1,1.342,0.645,1.239,1.227,0.433,0.413,0.456,1.04,0.976,0.774,0.85450,33
PDL-1,1.827,1.496,0.808,1.285,0.712,0.648,0.752,1.058,0.816,0.779,1.01810,34
PDL-1,0.456,0.865,0.658,0.912,0.408,1.462,0.387,0.608,0.896,0.608,0.72600,35
PDL-1,0.376,0.47,1.04,1.227,0.987,0.144,0.204,1.095,1.586,0.376,0.75050,36
PDL-1,0.595,1.008,0.658,1.008,0.347,0.658,0.52,1.104,0.639,0.233,0.67700,37
PDL-1,2.29,1.184,0.288,0.865,0.712,0.064,0.595,1.392,0.456,0.664,0.85100,38
PDL-1,1.551,1.113,0.755,1.714,0.695,0.808,0.735,0.673,1.008,0.896,0.99480,39
PDL-1,0.959,0.504,1.708,0.735,0.645,0.939,0.516,0.664,0.52,0.774,0.79640,40
PDL-2,0.322,0.193,0.322,0.52,0.193,0.595,0,0.322,0.433,0.595,0.34950,1
PDL-2,0.064,0.608,0.376,0.064,0.658,0.064,0.144,0.129,0.194,0.917,0.32180,2
PDL-2,0,0.204,0.064,0.144,0.193,0.144,0.266,0.266,0.144,0.612,0.20370,3
PDL-2,0.258,0.322,0.144,0.129,0.465,0,0,0.274,0,1.04,0.26320,4
PDL-2,0.129,0.233,0.064,0.091,0.491,0.532,0.182,0.064,0.322,0.064,0.21720,5
PDL-2,0.091,0.347,0.392,0.129,0.322,0.193,0.064,0.204,0.329,1.068,0.31390,6
PDL-2,0,0.258,0.408,0.376,0.129,0.233,0,0.144,0,0.456,0.20040,7
PDL-2,0.064,0.233,0.129,0.322,0.392,0.52,0.064,0.129,0.194,0.129,0.21760,8
PDL-2,0.064,0.266,0.695,0.516,0.322,0.896,0.064,0.387,0.695,1.935,0.58400,9
PDL-2,0.258,0.595,0.785,0.266,0.193,1.665,0,0.452,0.182,0.52,0.49160,10
PDL-2,0.322,0.204,0.952,0.387,0.091,0.686,0.064,0.952,0.329,0.648,0.46350,11
PDL-2,0,0.387,0.182,0.144,0.266,0.387,0,0.47,0.182,0.408,0.24260,12
PDL-2,0.193,0.71,0.848,0,0.504,0.896,1.113,0.841,0.258,0.658,0.60210,13
PDL-2,0.456,0.551,0.322,0.233,0.877,0.233,0.581,0.721,0.129,0.861,0.49640,14
PDL-2,0.064,0.551,1.163,0,0.71,0.182,1.04,0.288,0.52,0.52,0.50380,15
PDL-2,0.064,0.288,0.779,0.584,0.451,0.144,0,0.635,0.658,0.735,0.43380,16
PDL-2,0.091,0.322,0.266,0.516,0.584,0.413,0.841,0.645,0.584,0.777,0.50390,17
PDL-2,0.091,0.645,0.233,0.144,0.695,0.456,1.342,0.144,0.387,0.923,0.50600,18
PDL-2,0.064,0.532,0.577,0.387,0.673,0.322,0.532,0.258,1.058,0.645,0.50480,19
PDL-2,0.129,0.816,0.987,0.274,0.777,0.091,1.356,0.52,0.779,1.28,0.70090,20
PDL-2,0.322,0.233,0.967,0.064,0.144,0.288,0.841,1.205,1.642,1.746,0.74520,21
PDL-2,0.288,0.584,1.872,0.608,0.985,0.329,1.285,0.595,1.316,0.376,0.82380,22
PDL-2,0,0.433,0.695,0.645,0.491,0.695,0.193,0.233,0.673,0.93,0.49880,23
PDL-2,0.456,0.433,0.695,0.413,0.322,0.064,0.839,0.595,0.923,0.735,0.54750,24
PDL-2,0.266,1.316,0.695,0.47,0.258,0.274,0.841,0.204,0.97,2.077,0.73710,25
PDL-2,0.182,0.233,1.703,0.376,0.456,0.129,1.04,0.258,1.973,1.217,0.75670,26
PDL-2,0.182,0.976,0.905,0.193,0,0.376,1.762,0.456,0.777,1.189,0.68160,27
PDL-2,0.392,1.252,1.33,0.233,0.329,0.491,1.01,0.595,0.712,1.529,0.78730,28
PDL-2,0,0.47,1.184,0.204,0.182,0.258,0.752,0.52,0.838,0.595,0.50030,29
PDL-2,0.456,0.735,0.774,0.387,0,0.329,0.595,0.612,0.698,0.755,0.53410,30
PDL-2,0.274,0.555,0.635,1.032,0.516,0.555,0.52,0.861,1.104,1.04,0.70920,31
PDL-2,0.233,1.42,0.917,1.168,0.898,0.664,0.233,0.898,1.462,1.272,0.91650,32
PDL-2,0.144,0.917,0.456,1.02,1.462,1.04,0.129,0.551,0.777,0.258,0.67540,33
PDL-2,0.456,1.529,1.51,1.296,0.752,0.347,0.491,0.194,1.442,0,0.80170,34
PDL-2,0.204,0.52,0.204,0.735,0.959,0.917,0.735,0.322,1.371,0.639,0.66060,35
PDL-2,0.091,0.387,1.966,0.967,0.433,0.465,0.581,0.639,0.664,0.532,0.67250,36
PDL-2,0.204,0.635,1.485,0.387,0.52,0.755,0.712,1.306,1.462,0.903,0.83690,37
PDL-2,0.091,1.212,0.939,0.976,0.144,0.322,0.347,1.241,1.38,0.798,0.74500,38
PDL-2,0.376,0.322,1.04,1.33,0.987,1.677,0.433,0.547,0.322,0.877,0.79110,39
PDL-2,0.47,0.985,0.923,0.967,1.098,1.163,0.752,0.755,1.113,0.322,0.85480,40
